Topic	Words	Frequency	Class
172	burhan, ismail, speeches, hassan, writes	1	https://t.me/azwyokgsbzzz
173	scholarship, admission, apply, university, municipality	1	https://t.me/azwyokgsbzzz
175	immediate, faisal, banking, account, bank	4	https://t.me/azwyokgsbzzz
177	governorate, renk, fall, bright, ruled	4	https://t.me/azwyokgsbzzz
178	flag, fathers, independence, unacceptable, armed	7	https://t.me/azwyokgsbzzz
180	staying, prohibiting, stops, buses, transportation	5	https://t.me/azwyokgsbzzz
181	jelly, northeastern, bahri, officers, 58	9	https://t.me/azwyokgsbzzz
182	european, constructive, engagement, union, territorial	6	https://t.me/azwyokgsbzzz
183	expatriates, striking, honesty, kinds, make	7	https://t.me/azwyokgsbzzz
184	villages, feared, white, nile, gandhi	6	https://t.me/azwyokgsbzzz
185	province, shouk, clashes, took, nuba	8	https://t.me/azwyokgsbzzz
186	rukn, resignation, ayoub, azraq, assign	5	https://t.me/azwyokgsbzzz
187	egyptian, cairo, fattah, sisi, antiquities	6	https://t.me/azwyokgsbzzz
188	privacy, photo, replace, amnesty, negative	3	https://t.me/azwyokgsbzzz
189	uganda, systematically, refugees, camp, eyewitnesses	2	https://t.me/azwyokgsbzzz
190	youtube, facebook, whatsapp, channel, topic	4	https://t.me/azwyokgsbzzz
191	affirming, ignores, observer, visions, participants	2	https://t.me/azwyokgsbzzz
192	tightened, circle, journey, clip, girl	3	https://t.me/azwyokgsbzzz
193	investigations, imprisonment, prison, measure, hanging	5	https://t.me/azwyokgsbzzz
195	source, informing, ad, 2025, august	10	https://t.me/azwyokgsbzzz
196	theft, paid, investigation, department, police	5	https://t.me/azwyokgsbzzz
197	uae, lord, emirates, influential, aggression	3	https://t.me/azwyokgsbzzz
199	homeland, 2026, ad, november, news	3	https://t.me/azwyokgsbzzz
200	interests, allied, pressuring, starving, relationships	2	https://t.me/azwyokgsbzzz
202	selection, transparency, service, auspices, equal	3	https://t.me/azwyokgsbzzz
203	cemetery, sultan, concerned, gengueid, order	1	https://t.me/azwyokgsbzzz
205	homeland, 2025, november, ad, tuesday	3	https://t.me/azwyokgsbzzz
206	mobilization, authorizes, preachers, imams, mosques	2	https://t.me/azwyokgsbzzz
207	pennies, honest, knows, contribute, inquiries	2	https://t.me/azwyokgsbzzz
208	sanctions, unanimously, prohibition, 2005, freezing	2	https://t.me/azwyokgsbzzz
209	intelligence, service, sleeper, cells, rest	8	https://t.me/azwyokgsbzzz
210	networks, devices, communication, ones, far	3	https://t.me/azwyokgsbzzz
211	gandhi, operational, monitoring, ibrahim, daily	15	https://t.me/azwyokgsbzzz
212	asia, correspondent, khalifa, daily, caliph	8	https://t.me/azwyokgsbzzz
213	sick, urgently, elderly, injured, ambulances	6	https://t.me/azwyokgsbzzz
215	69, sudantoday, sudanesearmedforces, sudannews, 28	5	https://t.me/azwyokgsbzzz
216	72, survey, conducting, preliminary, limit	1	https://t.me/azwyokgsbzzz
217	antiquities, museum, sincerity, mourning, archaeological	4	https://t.me/azwyokgsbzzz
218	zakat, trustees, drag, begging, subsidies	3	https://t.me/azwyokgsbzzz
219	evident, distress, facebook, strength, popularresistance	4	https://t.me/azwyokgsbzzz
221	dirhams, sold, instead, budget, heba	1	https://t.me/azwyokgsbzzz
222	tourism, tourist, luxurious, travel, huge	5	https://t.me/azwyokgsbzzz
224	radio, permit, unlimited, awards, apology	3	https://t.me/azwyokgsbzzz
225	vehicles, motorcycles, prohibiting, traffic, motor	7	https://t.me/azwyokgsbzzz
227	visions, issue, existential, exchanged, reflected	1	https://t.me/azwyokgsbzzz
229	blood, nuba, trade, controlled, legend	5	https://t.me/azwyokgsbzzz
230	cities, denouncing, marches, demonstration, anwar	4	https://t.me/azwyokgsbzzz
232	generals, invaders, display, officials, cowardly	7	https://t.me/azwyokgsbzzz
233	tabiya, likely, december, agar, malik	1	https://t.me/azwyokgsbzzz
234	systematically, heat, kitchen, camp, zamzam	1	https://t.me/azwyokgsbzzz
235	meteorology, rains, varying, wind, expecting	4	https://t.me/azwyokgsbzzz
236	execution, hanging, wood, accused, rich	3	https://t.me/azwyokgsbzzz
237	image, uae, suit, comments, strange	5	https://t.me/azwyokgsbzzz
238	village, gathered, joy, domination, al	7	https://t.me/azwyokgsbzzz
239	jazeera, project, al, artistic, outlets	5	https://t.me/azwyokgsbzzz
240	dabba, convoy, mr, din, shelters	4	https://t.me/azwyokgsbzzz
242	methods, impersonating, 105, illegal, fragile	2	https://t.me/azwyokgsbzzz
243	detainees, floor, detention, pillar, different	4	https://t.me/azwyokgsbzzz
244	genocide, dissolved, properties, committed, crimes	4	https://t.me/azwyokgsbzzz
245	tijani, soft, suddenly, immigrant, ruler	1	https://t.me/azwyokgsbzzz
247	island, beloved, villages, nature, land	11	https://t.me/azwyokgsbzzz
248	infantry, division, 22nd, officers, 18th	4	https://t.me/azwyokgsbzzz
249	girl, arqin, arrested, quantity, ambush	1	https://t.me/azwyokgsbzzz
250	meat, zakat, bureau, bags, distribution	3	https://t.me/azwyokgsbzzz
251	occupied, unfortunately, videos, displacement, homes	9	https://t.me/azwyokgsbzzz
252	salva, kiir, advisor, tut, qalwak	2	https://t.me/azwyokgsbzzz
253	fixed, epic, sufi, treating, knew	5	https://t.me/azwyokgsbzzz
254	homeland, patriotism, pulse, unity, winds	5	https://t.me/azwyokgsbzzz
255	elected, success, hatem, election, wishing	1	https://t.me/azwyokgsbzzz
258	milk, satisfaction, address, listened, clinics	2	https://t.me/azwyokgsbzzz
259	pregnant, women, honey, mothers, nutritional	1	https://t.me/azwyokgsbzzz
260	qatina, stormed, hamad, villages, mustermen	7	https://t.me/azwyokgsbzzz
261	reassure, stable, officers, seventy, youssef	3	https://t.me/azwyokgsbzzz
263	middle, hands, remain, needs, free	1	https://t.me/azwyokgsbzzz
264	wish, speedy, recovery, wounded, injured	2	https://t.me/azwyokgsbzzz
265	moving, drought, awlad, eid, nazir	2	https://t.me/azwyokgsbzzz
266	division, entertainment, infantry, 1st, guidance	1	https://t.me/azwyokgsbzzz
267	extremist, arabs, stems, racial, tabiya	1	https://t.me/azwyokgsbzzz
269	queues, endeavors, succeed, repeated, ireland	6	https://t.me/azwyokgsbzzz
270	mohamed, convinced, chadian, influential, suspicious	1	https://t.me/azwyokgsbzzz
271	crossing, adre, border, approved, trucks	5	https://t.me/azwyokgsbzzz
273	hatred, traitor, traitors, explanation, learn	2	https://t.me/azwyokgsbzzz
275	uae, weapon, stop, clarified, achieved	5	https://t.me/azwyokgsbzzz
279	systematically, instability, scale, blatant, directly	1	https://t.me/azwyokgsbzzz
280	uae, evidence, disregard, emirates, ignorance	3	https://t.me/azwyokgsbzzz
281	extremely, record, aqar, voice, thanks	1	https://t.me/azwyokgsbzzz
284	channel, telegram, karry, httpstmekraray224466, share	1	https://t.me/azwyokgsbzzz
-1	al, burhan, war, army, sudanese	668	https://t.me/munawaeatsudanih26622
0	army, rapid, al, artillery, forces	66	https://t.me/munawaeatsudanih26622
1	school, educational, students, education, postponement	17	https://t.me/munawaeatsudanih26622
2	aid, humanitarian, food, children, famine	23	https://t.me/munawaeatsudanih26622
3	sports, al, hilal, team, league	37	https://t.me/munawaeatsudanih26622
5	burhan, headlines, touring, sword, prominent	2	https://t.me/munawaeatsudanih26622
6	ethiopian, ethiopia, fighters, border, addis	14	https://t.me/munawaeatsudanih26622
7	cholera, cases, deaths, suspected, disease	15	https://t.me/munawaeatsudanih26622
9	reinforces, owns, whereabouts, fight, views	7	https://t.me/munawaeatsudanih26622
10	sexual, girls, women, violence, save	6	https://t.me/munawaeatsudanih26622
11	dependence, washing, producers, productive, gradually	3	https://t.me/munawaeatsudanih26622
12	civilians, outside, dead, million, engaged	16	https://t.me/munawaeatsudanih26622
13	god, oh, sorry, curse, mighty	8	https://t.me/munawaeatsudanih26622
16	phase, mentioning, leaks, advocates, nomination	4	https://t.me/munawaeatsudanih26622
17	appeals, crescent, red, respond, cross	1	https://t.me/munawaeatsudanih26622
18	conventions, race, lesson, turns, soldier	3	https://t.me/munawaeatsudanih26622
19	happen, burhan, anticipated, secretary, generals	2	https://t.me/munawaeatsudanih26622
20	meets, governor, burhan, executive, health	10	https://t.me/munawaeatsudanih26622
21	doctors, health, floods, hunger, famine	12	https://t.me/munawaeatsudanih26622
22	applies, undoubtedly, uniform, uses, dealt	1	https://t.me/munawaeatsudanih26622
23	founding, hamdok, names, arabiya, satti	4	https://t.me/munawaeatsudanih26622
24	percent, 90, remained, families, neighborhood	1	https://t.me/munawaeatsudanih26622
25	refugees, 98, lost, chad, hungry	3	https://t.me/munawaeatsudanih26622
26	northern, blue, discussing, budget, nile	4	https://t.me/munawaeatsudanih26622
27	corps, losses, al, area, exit	5	https://t.me/munawaeatsudanih26622
28	ethiopian, ethiopia, stuck, refugees, deteriorating	3	https://t.me/munawaeatsudanih26622
29	duties, burhan, mohieddin, assigning, police	2	https://t.me/munawaeatsudanih26622
30	bank, banks, banking, devices, surveillance	5	https://t.me/munawaeatsudanih26622
31	flights, airlines, airport, casualties, flying	7	https://t.me/munawaeatsudanih26622
32	passport, passports, visa, approvals, obtaining	7	https://t.me/munawaeatsudanih26622
33	clip, hall, inaugurates, video, police	2	https://t.me/munawaeatsudanih26622
34	floods, torrents, rains, rain, torrential	4	https://t.me/munawaeatsudanih26622
35	parties, exposing, documented, conflict, bills	6	https://t.me/munawaeatsudanih26622
37	nature, burhan, reality, bargain, arabiya	4	https://t.me/munawaeatsudanih26622
38	prosecutors, submitted, draft, investigations, discussions	1	https://t.me/munawaeatsudanih26622
39	factor, deliberations, oman, sultanate, absent	2	https://t.me/munawaeatsudanih26622
40	traditional, examining, mining, ways, develop	1	https://t.me/munawaeatsudanih26622
42	rights, human, reuters, report, draft	3	https://t.me/munawaeatsudanih26622
43	gun, sleep, dreams, volcker, merchants	1	https://t.me/munawaeatsudanih26622
45	municipal, liquor, quantities, dongola, seized	1	https://t.me/munawaeatsudanih26622
47	takes, waiting, answer, zero, think	1	https://t.me/munawaeatsudanih26622
48	african, bills, faki, union, moussa	2	https://t.me/munawaeatsudanih26622
49	companions, prophet, grant, bless, oh	6	https://t.me/munawaeatsudanih26622
51	restore, electricity, nyala, 10, months	1	https://t.me/munawaeatsudanih26622
52	insufficient, properties, overcrowding, miserable, suffering	3	https://t.me/munawaeatsudanih26622
53	refinery, seized, ice, stones, oil	2	https://t.me/munawaeatsudanih26622
54	headlines, army, al, burhan, news	14	https://t.me/munawaeatsudanih26622
55	farouk, beat, issa, mahmoud, purpose	2	https://t.me/munawaeatsudanih26622
56	views, 2023, received, million, sudanese	1	https://t.me/munawaeatsudanih26622
58	basket, arrivals, karari, launches, locality	1	https://t.me/munawaeatsudanih26622
62	headlines, newspapers, 22, newspaper, 2024	2	https://t.me/munawaeatsudanih26622
63	unsafe, almighty, god, like, protect	2	https://t.me/munawaeatsudanih26622
64	wife, mother, wants, let, children	1	https://t.me/munawaeatsudanih26622
66	neighboring, seventy, endeavors, 2005, ring	2	https://t.me/munawaeatsudanih26622
68	abandon, exclusion, goes, exception, differences	1	https://t.me/munawaeatsudanih26622
70	passports, passport, immigration, online, issuing	5	https://t.me/munawaeatsudanih26622
72	court, criminal, crimes, committed, prosecutor	5	https://t.me/munawaeatsudanih26622
73	seat, din, visiting, intends, bases	5	https://t.me/munawaeatsudanih26622
74	satisfaction, understand, sign, silence, dont	1	https://t.me/munawaeatsudanih26622
75	speedy, recovery, mercy, consider, forgiveness	1	https://t.me/munawaeatsudanih26622
76	contrast, prefer, guns, equipped, machine	2	https://t.me/munawaeatsudanih26622
77	artists, revive, dispersed, works, cairo	1	https://t.me/munawaeatsudanih26622
79	stations, pumping, exit, communication, station	2	https://t.me/munawaeatsudanih26622
80	religion, path, divine, god, ansar	4	https://t.me/munawaeatsudanih26622
82	rents, rent, tell, house, stripped	4	https://t.me/munawaeatsudanih26622
83	morgue, forensic, rehabilitating, doctor, looking	1	https://t.me/munawaeatsudanih26622
90	hand, protects, listen, serves, replace	2	https://t.me/munawaeatsudanih26622
91	kiir, salva, hajj, juba, ali	2	https://t.me/munawaeatsudanih26622
92	transports, preparedness, mobilizes, cemeteries, eagles	3	https://t.me/munawaeatsudanih26622
93	pharmaceutical, medicines, poisons, manufacturing, sold	3	https://t.me/munawaeatsudanih26622
94	significant, expected, fuel, prices, increase	1	https://t.me/munawaeatsudanih26622
96	mobilization, congratulated, energies, positively, ninth	2	https://t.me/munawaeatsudanih26622
100	mobilizing, mobilization, soldiers, proof, carrying	4	https://t.me/munawaeatsudanih26622
103	gosh, loyal, considered, hemedti, force	1	https://t.me/munawaeatsudanih26622
104	unit, karama, addressing, came, area	1	https://t.me/munawaeatsudanih26622
105	suggest, awlad, transgressions, branches, blind	1	https://t.me/munawaeatsudanih26622
106	substances, alcohol, 53, mecca, symposium	1	https://t.me/munawaeatsudanih26622
108	humanitarian, permits, wishing, principles, organizations	2	https://t.me/munawaeatsudanih26622
110	drones, promoted, shot, signal, rumor	4	https://t.me/munawaeatsudanih26622
114	migration, figures, organization, million, internal	1	https://t.me/munawaeatsudanih26622
115	titles, black, dollar, pound, rates	9	https://t.me/munawaeatsudanih26622
117	rents, hasahisa, scattered, imagine, doors	2	https://t.me/munawaeatsudanih26622
121	slightly, temperatures, meteorology, drop, continue	1	https://t.me/munawaeatsudanih26622
122	hospitals, rabak, feed, inability, sold	3	https://t.me/munawaeatsudanih26622
123	reconsider, moatasem, researcher, besieging, doctors	1	https://t.me/munawaeatsudanih26622
124	chadian, cruisers, 280, nilein, anti	1	https://t.me/munawaeatsudanih26622
126	ships, endowments, pilgrims, religious, transport	1	https://t.me/munawaeatsudanih26622
127	sleeper, text, cells, nature, terrorist	2	https://t.me/munawaeatsudanih26622
129	push, amendments, rejected, saying, attempts	1	https://t.me/munawaeatsudanih26622
137	weather, early, cold, winter, rains	1	https://t.me/munawaeatsudanih26622
138	apart, seats, falling, assume, sought	2	https://t.me/munawaeatsudanih26622
139	insurance, benefited, 57, 500, health	2	https://t.me/munawaeatsudanih26622
140	shops, looted, cars, business, closed	2	https://t.me/munawaeatsudanih26622
141	split, sandal, burhan, hemedti, 2004	6	https://t.me/munawaeatsudanih26622
144	film, goodbye, prize, grand, festival	2	https://t.me/munawaeatsudanih26622
148	fees, determined, httpstmesaqwl, noted, coverage	1	https://t.me/munawaeatsudanih26622
150	declining, resettlement, paper, industries, investment	2	https://t.me/munawaeatsudanih26622
153	categories, licensing, railway, accident, vehicle	2	https://t.me/munawaeatsudanih26622
158	sinar, disabilities, distributes, kind, care	1	https://t.me/munawaeatsudanih26622
162	al, km, devoid, medani, wadi	2	https://t.me/munawaeatsudanih26622
165	watan, 25, monday, december, 2023	1	https://t.me/munawaeatsudanih26622
166	democratic, founding, entity, democracy, coordination	1	https://t.me/munawaeatsudanih26622
167	tuti, crowd, crying, tears, collapsed	2	https://t.me/munawaeatsudanih26622
168	tariq, destination, haj, kidnapped, unknown	1	https://t.me/munawaeatsudanih26622
169	sincerity, spoils, characterized, unify, initiatives	1	https://t.me/munawaeatsudanih26622
174	february, thursday, 2024, ad, news	1	https://t.me/munawaeatsudanih26622
175	congestion, overcrowding, online, payment, account	2	https://t.me/munawaeatsudanih26622
178	forget, sinja, buses, chief, 750	1	https://t.me/munawaeatsudanih26622
181	falling, rank, inflicted, commanders, casualties	1	https://t.me/munawaeatsudanih26622
183	rent, imagine, place, mother, elderly	1	https://t.me/munawaeatsudanih26622
184	accurately, determines, location, concludes, heart	3	https://t.me/munawaeatsudanih26622
185	launched, raids, warplanes, panic, shops	2	https://t.me/munawaeatsudanih26622
186	colonel, musa, bed, bahri, hassan	2	https://t.me/munawaeatsudanih26622
188	internet, cut, cover, sides, electricity	1	https://t.me/munawaeatsudanih26622
189	uganda, flooded, rainfall, forests, complain	1	https://t.me/munawaeatsudanih26622
193	killer, smuggle, thwarting, currencies, cessation	1	https://t.me/munawaeatsudanih26622
195	various, cities, states, khartoum, source	1	https://t.me/munawaeatsudanih26622
196	active, gang, looting, arrest, river	1	https://t.me/munawaeatsudanih26622
200	dissolve, conflict, burhan, obeid, writes	3	https://t.me/munawaeatsudanih26622
208	residing, sanctions, european, including, sudan	1	https://t.me/munawaeatsudanih26622
209	intelligence, service, suburb, dissolution, emerged	2	https://t.me/munawaeatsudanih26622
210	internet, communications, outage, digital, starlink	5	https://t.me/munawaeatsudanih26622
213	veterinary, specialists, communicate, controlled, appeal	1	https://t.me/munawaeatsudanih26622
216	alert, tree, important, urgent, resistance	1	https://t.me/munawaeatsudanih26622
217	archaeological, heritage, secrets, pyramids, merowe	3	https://t.me/munawaeatsudanih26622
218	zakat, bureau, trustees, expansion, board	2	https://t.me/munawaeatsudanih26622
227	dam, dams, renaissance, collapse, storage	2	https://t.me/munawaeatsudanih26622
229	warm, talk, necessary, abroad, reached	1	https://t.me/munawaeatsudanih26622
