Topic	Count	Name	Representation	Representative_Docs
26	339	26_blue_nile_governor_northern	['blue', 'nile', 'governor', 'northern', 'north', 'kordofan', 'locality', 'white', 'river', 'badi', 'reviews', 'launches']	
27	321	27_fasher_city_area_el	['fasher', 'city', 'area', 'el', 'forces', 'axis', 'vehicles', 'army', 'militia', 'division', 'artillery', 'siege']	
28	319	28_ethiopian_refugees_ethiopia_tigray	['ethiopian', 'refugees', 'ethiopia', 'tigray', 'forests', 'refugee', 'ethiopians', 'ababa', 'addis', 'region', 'camp', 'camps']	
29	318	29_police_security_khartoum_crime	['police', 'security', 'khartoum', 'crime', 'committee', 'phenomena', 'presence', 'interior', 'foreigners', 'director', 'hamza', 'cell']	
30	302	30_bank_banks_exchange_dollar	['bank', 'banks', 'exchange', 'dollar', 'pound', 'rate', 'banking', 'currency', 'central', 'currencies', 'pounds', 'transfers']	
31	298	31_airport_flights_airlines_flight	['airport', 'flights', 'airlines', 'flight', 'aviation', 'plane', 'airspace', 'stranded', 'badr', 'passenger', 'passengers', 'aircraft']	
32	297	32_passports_passport_immigration_foreigners	['passports', 'passport', 'immigration', 'foreigners', 'police', 'administration', 'visa', 'registry', 'procedures', 'documents', 'factory', 'general']	
33	287	33_police_security_crime_intelligence	['police', 'security', 'crime', 'intelligence', 'services', 'rates', 'criminal', 'service', 'force', 'phenomena', 'defendants', 'negative']	
34	280	34_floods_rains_torrential_torrents	['floods', 'rains', 'torrential', 'torrents', 'rain', 'affected', 'flood', 'heavy', 'collapse', 'homes', 'damaged', 'houses']	
35	270	35_truce_ceasefire_parties_peace	['truce', 'ceasefire', 'parties', 'peace', 'conflict', 'war', 'agreement', 'stop', 'negotiation', 'movements', 'hostilities', 'warring']	
36	261	36_revolution_revolutionary_glorious_freedom	['revolution', 'revolutionary', 'glorious', 'freedom', 'december', 'change', 'revolutionaries', 'rebellion', 'colonialism', 'goals', 'processions', 'terrified']	
37	247	37_rebel_al_withdrawal_militia	['rebel', 'al', 'withdrawal', 'militia', 'islamists', 'major', 'alburhan', 'war', 'leaders', 'military', 'silent', 'saeed']	
38	238	38_court_corruption_prosecution_case	['court', 'corruption', 'prosecution', 'case', 'article', 'justice', 'judge', 'prosecutor', 'law', 'code', 'public', 'criminal']	
39	223	39_egypt_voluntary_embassy_egyptian	['egypt', 'voluntary', 'embassy', 'egyptian', 'stranded', 'return', 'deportation', 'sudanese', 'violators', 'aswan', 'syrians', 'deported']	
40	223	40_mining_gold_mineral_company	['mining', 'gold', 'mineral', 'company', 'resources', 'production', 'companies', 'minerals', 'companys', 'ardoul', 'traditional', 'tons']	
41	221	41_httpstmesaqwl_spokesperson_office_watch	['httpstmesaqwl', 'spokesperson', 'office', 'watch', 'khartoumjanjaweedcemetery', 'official', 'account', 'sudannews', 'application', 'following', 'news', 'rapid']	
42	215	42_rights_human_factfinding_mission	['rights', 'human', 'factfinding', 'mission', 'commission', 'independent', 'violations', 'expert', 'crimes', 'geneva', 'international', 'african']	
43	213	43_dollar_exchange_rate_inflation	['dollar', 'exchange', 'rate', 'inflation', 'currency', 'banks', 'banking', 'parallel', 'market', 'billion', 'bank', 'monetary']	
44	212	44_corona_cases_infections_suspected	['corona', 'cases', 'infections', 'suspected', 'virus', 'pandemic', 'deaths', 'health', 'recorded', 'infection', 'coronavirus', 'preventive']	
45	210	45_drugs_drug_pills_seized	['drugs', 'drug', 'pills', 'seized', 'smuggling', 'combating', 'addiction', 'quantities', 'possession', 'police', 'shipment', 'administration']	
46	208	46_trafficking_human_smuggling_victims	['trafficking', 'human', 'smuggling', 'victims', 'gang', 'investigations', 'hostages', 'network', 'criminal', 'arrested', 'department', 'gangs']	
47	205	47_waiting_answer_zero_think	['waiting', 'answer', 'zero', 'think', 'happened', '2013', 'hour', 'ask', 'mean', 'clarify', 'know', 'understand']	
48	203	48_african_union_continent_membership	['african', 'union', 'continent', 'membership', 'president', 'summit', 'sudans', 'igad', 'sovereignty', 'representative', 'africa', 'commission']	
49	202	49_god_bless_messenger_grant	['god', 'bless', 'messenger', 'grant', 'prophet', 'almighty', 'lord', 'blessings', 'peace', 'allah', 'oh', 'prayer']	
50	200	50_follow_httpstmesudaaan_channel_whatsapp	['follow', 'httpstmesudaaan', 'channel', 'whatsapp', 'telegram', 'httpswhatsappcomchannel0029vapgy3o7dmecjcizwq2x', 'reliable', 'coverage', 'httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnnpxuj5a1x', 'challengesofthetransitionalperiod', 'sudan', 'news']	
51	199	51_electricity_station_energy_electrical	['electricity', 'station', 'energy', 'electrical', 'power', 'maintenance', 'outages', 'generation', 'stations', 'company', 'water', 'supply']	
52	198	52_displaced_shelter_food_conditions	['displaced', 'shelter', 'food', 'conditions', 'harsh', 'families', 'lack', 'elderly', 'cold', 'suffering', 'return', 'children']	
53	196	53_refinery_fuel_oil_energy	['refinery', 'fuel', 'oil', 'energy', 'gasoline', 'gas', 'petroleum', 'prices', 'stations', 'employees', 'pumping', 'company']	
54	196	54_headlines_army_news_alburhan	['headlines', 'army', 'news', 'alburhan', 'newspaper', 'issued', 'ad', 'truce', 'electronic', 'alsudani', 'political', 'prominent']	
55	195	55_damazin_abdul_al_hassan	['damazin', 'abdul', 'al', 'hassan', 'muhammad', 'writes', 'albilal', 'hamid', 'ali', 'ahmed', 'altayeb', 'ibrahim']	
56	194	56_networks_starlink_communication_devices	['networks', 'starlink', 'communication', 'devices', 'internet', 'telecommunications', 'communications', 'interruption', 'operational', 'accounts', 'followers', 'phone']	
57	193	57_ad_todays_news_headlines	['ad', 'todays', 'news', 'headlines', '2024', '2025', 'bulletin', '2017', 'saturday', 'issued', 'wednesday', 'important']	
58	192	58_ministries_khartoum_appointment_kamel	['ministries', 'khartoum', 'appointment', 'kamel', 'governor', 'idris', 'controversy', 'ministers', 'tijani', 'headquarters', 'service', 'explaining']	
59	191	59_customs_goods_smuggling_luggage	['customs', 'goods', 'smuggling', 'luggage', 'crossings', 'dogs', 'exempt', 'smuggle', 'personal', 'duties', 'electrical', 'fees']	
60	185	60_budget_finance_spending_taxes	['budget', 'finance', 'spending', 'taxes', 'economic', 'revenues', 'economy', 'citizen', 'treasury', 'ministry', 'money', 'ministers']	
61	185	61_join_scene_httpstmesdnewsnetwork_link	['join', 'scene', 'httpstmesdnewsnetwork', 'link', 'telegram', 'sudanese', '', '', '', '', '', '']	
62	179	62_headlines_newspapers_newspaper_2022	['headlines', 'newspapers', 'newspaper', '2022', 'ad', 'morning', 'prominent', '2017', 'issued', 'published', 'hammam', 'shafiq']	
63	177	63_god_oh_protect_mighty	['god', 'oh', 'protect', 'mighty', 'victory', 'blessings', 'grant', 'mercy', 'hired', 'traitors', 'homeland', 'ask']	
64	175	64_father_love_sudanese_battle	['father', 'love', 'sudanese', 'battle', 'history', 'humiliate', 'drink', 'like', 'gave', 'pride', 'truth', 'chad']	
65	174	65_health_hospital_doctors_medical	['health', 'hospital', 'doctors', 'medical', 'surgery', 'center', 'personnel', 'hospitals', 'machines', 'strike', 'heart', 'preparing']	
66	170	66_sanctions_security_council_united	['sanctions', 'security', 'council', 'united', 'nations', 'mission', 'envoy', 'representative', 'session', 'resolution', 'imposed', 'sudan']	
67	169	67_weather_moderate_temperatures_meteorology	['weather', 'moderate', 'temperatures', 'meteorology', 'hot', 'willing', 'facebook', 'expected', 'rain', 'cold', 'temperature', 'night']	
68	166	68_injustice_revolution_freedom_regime	['injustice', 'revolution', 'freedom', 'regime', 'democracy', 'democratic', 'political', 'marginalization', 'revolutions', 'justice', 'power', 'achieve']	
69	164	69_suna_agency_news_sudan	['suna', 'agency', 'news', 'sudan', 'sama', 'sona', 'condition', 'summary', 'addresses', 'delivery', '2020', 'todays']	
70	160	70_passports_immigration_passport_administration	['passports', 'immigration', 'passport', 'administration', 'registry', 'general', 'police', 'electronic', 'procedures', 'hijri', 'interior', 'services']	
71	160	71_journalists_media_female_press	['journalists', 'media', 'female', 'press', 'syndicate', 'journalist', 'professional', 'professionals', 'journalism', 'facts', 'war', 'union']	
72	160	72_court_criminal_genocide_crimes	['court', 'criminal', 'genocide', 'crimes', 'justice', 'international', 'request', 'prosecutor', 'complaint', 'uae', 'humanity', 'lawsuit']	
73	159	73_egyptian_egypt_egypts_foreign	['egyptian', 'egypt', 'egypts', 'foreign', 'brotherly', 'president', 'cairo', 'regional', 'relations', 'sovereignty', 'external', 'stability']	
74	158	74_dont_come_didnt_personally	['dont', 'come', 'didnt', 'personally', 'play', 'did', 'silent', 'tonight', 'left', 'fact', 'satisfied', 'waiting']	
75	156	75_speedy_recovery_martyrs_mercy	['speedy', 'recovery', 'martyrs', 'mercy', 'wounded', 'righteous', 'missing', 'forgiveness', 'eternity', 'injured', 'ask', 'prayers']	
76	156	76_vehicles_armored_equipment_combat	['vehicles', 'armored', 'equipment', 'combat', 'losses', 'enemy', 'heavy', 'ammunition', 'tanks', 'inflicting', 'clearance', 'destroying']	
77	155	77_artist_artists_singing_art	['artist', 'artists', 'singing', 'art', 'ask', 'artistic', 'song', 'forgiveness', 'illness', 'famous', 'band', 'mohamed']	
78	150	78_terrorist_terrorism_crimes_extremist	['terrorist', 'terrorism', 'crimes', 'extremist', 'classify', 'heinous', 'militia', 'brigades', 'regime', 'crime', 'atrocities', 'acts']	
79	149	79_water_station_wells_meters	['water', 'station', 'wells', 'meters', 'stations', 'dam', 'drinking', 'dams', 'renaissance', 'irrigation', 'authority', 'sea']	
80	149	80_god_battle_victory_conquest	['god', 'battle', 'victory', 'conquest', 'know', 'dear', 'near', 'martyrs', 'channel', 'victoryfromgodandconquestisnear', 'gods', 'let']	
81	148	81_foreigners_immigration_immigrants_citizenship	['foreigners', 'immigration', 'immigrants', 'citizenship', 'deportation', 'illegal', 'legal', 'residency', 'violators', 'status', 'deported', 'presence']	
82	148	82_rent_house_housing_rents	['rent', 'house', 'housing', 'rents', 'planning', 'residential', 'neighborhoods', 'urban', 'estate', 'eviction', 'localities', 'shambat']	
83	148	83_health_hospital_medical_center	['health', 'hospital', 'medical', 'center', 'hospitals', 'nursing', 'sector', 'federal', 'ministry', 'doctors', 'treatment', 'specialists']	
84	147	84_court_accused_prosecution_case	['court', 'accused', 'prosecution', 'case', 'ruling', 'doha', 'martyr', 'trial', 'prosecutor', 'arrest', 'prison', 'fine']	
85	144	85_newspapers_headlines_political_morning	['newspapers', 'headlines', 'political', 'morning', 'ad', 'issued', 'prominent', 'akhbar', 'alyoum', 'newspaper', 'published', '2020']	
86	143	86_religious_church_mosque_mosques	['religious', 'church', 'mosque', 'mosques', 'values', 'sheikh', 'religion', 'solidarity', 'prayers', 'quran', 'preachers', 'compassion']	
87	139	87_workers_labor_employees_salaries	['workers', 'labor', 'employees', 'salaries', 'unemployment', 'job', 'expatriate', 'jobs', 'work', 'wage', 'saudi', 'restoring']	
88	137	88_debts_bank_debt_economic	['debts', 'bank', 'debt', 'economic', 'finance', 'billion', 'world', 'dollars', 'sudans', 'heavily', 'monetary', 'fund']	
89	136	89_chinese_foreign_countries_affairs	['chinese', 'foreign', 'countries', 'affairs', 'bilateral', 'china', 'diplomats', 'relations', 'american', 'london', 'decision', 'diplomatic']	
90	131	90_pardon_reporting_armed_renew	['pardon', 'reporting', 'armed', 'renew', 'rebellion', 'army', 'unit', 'arming', 'benefit', 'commanderinchief', 'command', 'military']	
91	130	91_peace_juba_kiir_agreement	['peace', 'juba', 'kiir', 'agreement', 'south', 'salva', 'parties', 'president', 'union', 'african', 'mediation', 'igad']	
92	129	92_enemy_mercenaries_shield_remnants	['enemy', 'mercenaries', 'shield', 'remnants', 'infiltrating', 'heroes', 'battle', 'valiant', 'confronted', 'chasing', 'chose', 'defeat']	
93	122	93_pharmaceutical_medicines_strip_medicine	['pharmaceutical', 'medicines', 'strip', 'medicine', 'pharmacies', 'pounds', 'pharmacists', 'price', 'prices', 'pharmacy', 'increases', 'drug']	
94	122	94_oil_gasoline_fuel_prices	['oil', 'gasoline', 'fuel', 'prices', 'gas', 'price', 'pounds', 'petroleum', 'increase', 'agents', 'barrels', 'production']	
95	121	95_kordofan_west_governor_north	['kordofan', 'west', 'governor', 'north', 'south', 'rashad', 'delegation', 'alfula', 'conflicts', 'meets', 'hamid', 'region']	
96	121	96_command_sat_chief_summary	['command', 'sat', 'chief', 'summary', 'armed', 'commanderinchief', 'stable', '2023', 'todays', 'staff', 'forces', 'officers']	
97	120	97_media_press_journalists_professionals	['media', 'press', 'journalists', 'professionals', 'workshop', 'publications', 'misinformation', 'publishing', 'law', 'amend', 'professional', 'empower']	
98	119	98_ethiopian_newspaper_renaissance_ethiopia	['ethiopian', 'newspaper', 'renaissance', 'ethiopia', 'dam', 'hamdok', 'electronic', 'corona', 'sodamedia', 'alsudani', 'sitin', 'alwatan']	
99	117	99_httpstmesaqwl___	['httpstmesaqwl', '', '', '', '', '', '', '', '', '', '', '']	
100	113	100_soldiers_army_morale_victory	['soldiers', 'army', 'morale', 'victory', 'salute', 'leadership', 'commanders', 'officers', 'stable', 'fronts', 'leaders', 'soldier']	
101	112	101_corporation_television_radio_kordofan	['corporation', 'television', 'radio', 'kordofan', 'west', 'north', 'alfula', 'governor', 'locality', 'foundation', 'guidance', 'education']	
102	109	102_trump_biden_trumps_congress	['trump', 'biden', 'trumps', 'congress', 'republican', 'investigative', 'donald', 'material', 'deliberations', 'house', 'representatives', 'journalism']	
103	108	103_diaspora_alfasher_write_arabs	['diaspora', 'alfasher', 'write', 'arabs', 'janjaweed', 'tribe', 'al', 'rizeigat', 'tribes', 'obaid', 'pulse', 'despite']	
104	108	104_muslims_badr_victory_bin	['muslims', 'badr', 'victory', 'bin', 'speedy', 'valiant', 'resolve', 'battle', 'dedicate', 'god', 'almighty', 'cleanse']	
105	107	105_demonstrations_demonstrators_protesters_ministries	['demonstrations', 'demonstrators', 'protesters', 'ministries', 'protests', 'tear', 'gas', 'demonstration', 'party', 'police', 'revolutionary', 'khartoum']	
106	107	106_almahdi_pilgrims_imam_prayers	['almahdi', 'pilgrims', 'imam', 'prayers', 'eid', 'mosques', 'holy', 'alsadiq', 'hajj', 'mourns', 'ramadan', 'religious']	
107	107	107_sovereignty_commanderinchief_lieutenant_council	['sovereignty', 'commanderinchief', 'lieutenant', 'council', 'overall', 'chairman', 'fattah', 'oath', 'yahya', 'transitional', 'general', 'president']	
108	106	108_humanitarian_aid_agencies_organizations	['humanitarian', 'aid', 'agencies', 'organizations', 'relief', 'emergencies', 'principles', 'response', 'international', 'ensuring', 'working', 'urgent']	
109	106	109_refugee_refugees_deport_delegation	['refugee', 'refugees', 'deport', 'delegation', 'administrative', 'commissioner', 'foreigners', 'interior', 'appointments', 'registered', 'commission', 'employees']	
110	105	110_drones_missiles_drone_losses	['drones', 'missiles', 'drone', 'losses', 'air', 'shot', 'combat', 'missile', 'causing', 'tank', 'deals', 'aviation']	
111	105	111_dialysis_kidney_patients_liver	['dialysis', 'kidney', 'patients', 'liver', 'center', 'hospital', 'machines', 'medical', 'surgery', 'othman', 'operations', 'treatment']	
112	104	112_libya_immigrants_libyan_illegal	['libya', 'immigrants', 'libyan', 'illegal', 'migrants', 'immigration', 'kufra', 'asylum', 'irregular', 'deported', 'center', 'accident']	
113	104	113_honey_strains_wild_best	['honey', 'strains', 'wild', 'best', 'africa', 'bet', 'diplomatic', 'quality', 'laboratory', 'accurate', 'allow', '249918984706']	
114	104	114_migration_organization_migrants_international	['migration', 'organization', 'migrants', 'international', 'million', 'libya', 'returned', 'immigration', 'reintegration', 'european', 'illegal', 'europe']	
115	104	115_titles_incidents_economic_black	['titles', 'incidents', 'economic', 'black', 'dollar', 'pound', 'economy', 'market', 'poverty', 'rates', 'currency', 'price']	
116	103	116_haftar_libyan_libya_khalifa	['haftar', 'libyan', 'libya', 'khalifa', 'tripoli', 'kufra', 'nyala', 'chad', 'hesitation', 'southern', 'triangle', 'border']	
117	102	117_estate_real_housing_apartment	['estate', 'real', 'housing', 'apartment', 'apartments', 'rent', 'license', 'market', 'owners', 'advised', 'fund', 'prices']	
118	101	118_love_mother_son_know	['love', 'mother', 'son', 'know', 'husband', 'children', 'family', 'daughter', 'did', 'dont', 'told', 'crying']	
119	100	119_httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnpxuj5a1x_join_guardians_battleofdemocracy	['httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnpxuj5a1x', 'join', 'guardians', 'battleofdemocracy', 'scene', 'righteous', 'glorious', 'httpstmesdnewsnetwork', 'forgiveness', 'telegram', 'mercy', 'link']	
120	100	120_albashir_meets_unamid_minister	['albashir', 'meets', 'unamid', 'minister', 'jaber', 'salma', 'sovereignty', 'council', 'praises', 'president', 'ambassador', 'writers']	
121	99	121_temperatures_meteorology_slight_maximum	['temperatures', 'meteorology', 'slight', 'maximum', 'decrease', 'rise', 'small', 'parts', 'degrees', 'rest', 'gradual', 'temperature']	
122	99	122_medical_patients_medicines_room	['medical', 'patients', 'medicines', 'room', 'treatment', 'hospitals', 'injured', 'emergency', 'care', 'clinics', 'teams', 'provide']	
123	99	123_doctors_network_injured_killed	['doctors', 'network', 'injured', 'killed', 'result', 'rapid', 'wounded', 'syndicate', 'fasher', 'medical', 'bombing', 'hospital']	
124	98	124_chadian_chad_border_regimes	['chadian', 'chad', 'border', 'regimes', 'territory', 'ndjamena', 'crossing', 'authorities', 'crossings', 'emirati', 'uae', 'altineh']	
125	97	125_httpstmesudannm_httpswhatsappcomchannel0029vae7l5t11ulpotfega1s_correspondent_follow	['httpstmesudannm', 'httpswhatsappcomchannel0029vae7l5t11ulpotfega1s', 'correspondent', 'follow', 'whatsapp', 'channel', 'telegram', 'journalist', 'majid', 'abdul', 'httpstmesudaaan', 'hamid']	
126	95	126_hajj_umrah_pilgrims_ah	['hajj', 'umrah', 'pilgrims', 'ah', 'endowments', 'season', 'establishments', 'riyals', 'saudi', 'cost', 'holy', 'religious']	
127	95	127_terrorist_gangs_city_militia	['terrorist', 'gangs', 'city', 'militia', 'artillery', 'fasher', 'targeted', 'operational', 'morning', 'witnessed', 'infiltrate', 'targeting']	
128	95	128_httpstmesudaaan_httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnnpxuj5a1x_channel_follow	['httpstmesudaaan', 'httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnnpxuj5a1x', 'channel', 'follow', 'whatsapp', 'telegram', 'sudan', 'event', 'httpswhatsappcomchannel0029vapgy3o7dmecjcizwq2x', 'httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnpxuj5a1x', 'youtube', 'washing']	
129	93	129_war_citizen_betrayed_partys	['war', 'citizen', 'betrayed', 'partys', 'army', 'withdraw', 'militia', 'definitely', 'like', 'winning', 'yes', 'supporters']	
130	93	130_httpstmesdnewsnetlork_join_scene_link	['httpstmesdnewsnetlork', 'join', 'scene', 'link', 'telegram', 'sudan', 'migrant', 'httpstmesudaaan', 'channel', 'follow', '', '']	
131	92	131_sudandefense_httpstmedefenssuda_spokesperson_httpstmedefenssudan	['sudandefense', 'httpstmedefenssuda', 'spokesperson', 'httpstmedefenssudan', 'office', 'follow', 'telegram', 'official', 'rapid', 'forces', 'base', 'understanding']	
132	92	132_darfur_arko_minni_minawi	['darfur', 'arko', 'minni', 'minawi', 'governor', 'west', 'region', 'el', 'fasher', 'north', 'geneina', 'rapid']	
133	92	133_testing_careful_bet_quality	['testing', 'careful', 'bet', 'quality', 'laboratory', 'httpstmedefenssudan', 'allow', 'sudandefense', 'sidr', 'original', 'defense', 'sudans']	
134	92	134_sitin_demonstrators_dispersal_dispersing	['sitin', 'demonstrators', 'dispersal', 'dispersing', 'protesters', 'protests', 'demonstrations', 'peaceful', 'protest', 'abolition', 'processions', 'square']	
135	91	135_climate_message249_jobs_httpstmealrisala249	['climate', 'message249', 'jobs', 'httpstmealrisala249', 'battleofdignity', 'interested', 'organizations', 'change', 'courses', 'language', 'registration', 'english']	
136	90	136_win_strength_god_prevail	['win', 'strength', 'god', 'prevail', 'gods', 'victory', 'strengthen', 'help', 'grant', 'raise', 'feet', 'hostile']	
137	90	137_weather_hot_temperatures_todays	['weather', 'hot', 'temperatures', 'todays', 'slight', 'parts', 'moderate', 'rise', 'relatively', 'prevails', 'night', 'cold']	
138	90	138_party_elections_umma_political	['party', 'elections', 'umma', 'political', 'congress', 'national', 'legislative', 'parties', 'democratic', 'bloc', 'partys', 'interests']	
139	88	139_insurance_health_cost_financing	['insurance', 'health', 'cost', 'financing', 'services', 'organizes', 'jazeera', 'umbrella', 'fund', 'installing', 'island', 'orphans']	
140	88	140_looted_looting_property_shops	['looted', 'looting', 'property', 'shops', 'homes', 'guided', 'cars', 'burned', 'vandalized', 'solar', 'owners', 'citizens']	
141	87	141_appointed_empowerment_kizan_taqaddam	['appointed', 'empowerment', 'kizan', 'taqaddam', 'advisors', 'congress', 'alfaki', 'sitin', 'manna', 'demands', 'gosh', 'fired']	
142	87	142_watan_2025_news_al	['watan', '2025', 'news', 'al', 'august', 'february', 'tuesday', 'ad', '2024', 'december', 'friday', 'saturday']	
143	87	143_albashir_albashirs_court_deposed	['albashir', 'albashirs', 'court', 'deposed', 'difference', 'trial', 'criminal', 'prosecution', '1989', 'big', 'charges', 'president']	
144	87	144_film_series_shown_theater	['film', 'series', 'shown', 'theater', 'experience', 'dramatic', 'festival', 'actors', 'produced', 'acting', 'fingers', 'tragedies']	
145	86	145_list_terrorism_terrorist_sponsoring	['list', 'terrorism', 'terrorist', 'sponsoring', 'instability', 'extremism', 'remove', 'removing', 'countries', 'combating', 'sudans', 'indicating']	
146	86	146_httpswhatsappcomchannel0029vapgy3o7dmecjcizwq2x_channel_httpstmesudaaan_follow	['httpswhatsappcomchannel0029vapgy3o7dmecjcizwq2x', 'channel', 'httpstmesudaaan', 'follow', 'whatsapp', 'httpswhatsappcomchandnel0029vapgy3o7dmecjcizwq2x', 'telegram', 'sudan', 'httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnpxuj5a1x', 'httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnnpxuj5a1x', 'nubia', 'legend']	
147	86	147_voluntary_returnees_return_deported	['voluntary', 'returnees', 'return', 'deported', 'deterioration', 'migration', 'deposited', '450', 'immigration', 'deportation', 'expatriates', 'buses']	
148	85	148_httpstmesaqwl_coverage_fees_determined	['httpstmesaqwl', 'coverage', 'fees', 'determined', 'noted', 'fee', 'permission', 'share', 'imposed', 'comes', 'addition', '']	
149	84	149_bird_birds_norway_sheep	['bird', 'birds', 'norway', 'sheep', 'cows', 'research', 'animal', 'suicide', 'crocodile', 'sent', 'mourning', 'die']	
150	83	150_investment_economy_companies_economic	['investment', 'economy', 'companies', 'economic', 'sector', 'industry', 'productive', 'sectors', 'private', 'trade', 'policies', 'medium']	
151	83	151_pounds_price_kilo_prices	['pounds', 'price', 'kilo', 'prices', 'vegetables', 'meat', 'pound', 'bakeries', 'increase', 'flour', 'markets', 'purchasing']	
