Topic	Words	Frequency	Timestamp
12	confrontations, army, forces, north, killed	1	2023-04-02 00:00:00
14	italy, rising, confront, europe, emergency	1	2023-04-02 00:00:00
17	muhammad, writes, failure, diaspora, freedom	1	2023-04-02 00:00:00
20	allows, enter, visa, land, crossings	1	2023-04-02 00:00:00
21	numbers, reveals, morocco, border, harsh	3	2023-04-02 00:00:00
22	wars, tighten, merchants, blood, effects	5	2023-04-02 00:00:00
27	surprised, touching, hug, station, jeddah	1	2023-04-02 00:00:00
35	house, youssef, treat, libya, libyan	1	2023-04-02 00:00:00
43	reduce, colombia, intends, requests, threats	2	2023-04-02 00:00:00
-1	truce, invaded, donates, riyals, advantage	26	2023-05-02 00:00:00
4	gezira, period, receives, nyala, end	2	2023-05-02 00:00:00
5	awaiting, arduous, chad, escape, journey	5	2023-05-02 00:00:00
6	france, cross, immigrant, death, boat	2	2023-05-02 00:00:00
7	facilitating, taking, procedures, white, expatriates	1	2023-05-02 00:00:00
8	nations, united, calls, looting, general	9	2023-05-02 00:00:00
9	arrangements, ethiopian, wadalmahi, deportation, damazin	2	2023-05-02 00:00:00
10	kidnapping, history, janjaweed, rape, population	1	2023-05-02 00:00:00
11	official, reception, visits, praises, discuss	2	2023-05-02 00:00:00
12	lost, lives, clashes, result, army	1	2023-05-02 00:00:00
14	illegal, insulting, french, paris, immigration	2	2023-05-02 00:00:00
15	vulnerable, governorates, aswan, transporting, cover	1	2023-05-02 00:00:00
17	terror, journey, african, death, expatriates	1	2023-05-02 00:00:00
19	zakat, supplies, office, provides, expatriate	1	2023-05-02 00:00:00
21	providing, ports, fleeing, worry, contribute	3	2023-05-02 00:00:00
22	bitterness, catastrophe, hell, warnings, civilians	2	2023-05-02 00:00:00
23	migration, internal, forces, repercussions, internally	2	2023-05-02 00:00:00
34	organization, migration, 700, response, launches	2	2023-05-02 00:00:00
35	divided, confront, preparing, libya, worry	3	2023-05-02 00:00:00
37	flight, production, workers, economy, bank	1	2023-05-02 00:00:00
39	syrian, issue, elections, lebanon, fear	4	2023-05-02 00:00:00
41	stuck, eritrean, crises, clashes, armed	2	2023-05-02 00:00:00
44	horror, escape, journey, areas, fighting	1	2023-05-02 00:00:00
45	half, dead, result, thousand, increased	2	2023-05-02 00:00:00
51	bodies, zalingei, nyala, open, battles	1	2023-05-02 00:00:00
53	arrive, white, nile, south, blue	1	2023-05-02 00:00:00
-1	al, abdel, geneina, union, european	17	2023-06-01 00:00:00
0	health, treatment, amid, medical, centers	8	2023-06-01 00:00:00
1	seven, 19, tawila, area, clashes	1	2023-06-01 00:00:00
2	alleviate, effects, appeal, influx, humanitarian	1	2023-06-01 00:00:00
3	funding, scarcity, dire, basic, need	1	2023-06-01 00:00:00
4	good, man, season, maiqoma, supervision	5	2023-06-01 00:00:00
5	isolated, arduous, journey, south, border	1	2023-06-01 00:00:00
6	boat, migrant, coast, migrants, missing	14	2023-06-01 00:00:00
8	nations, united, inside, continues, expresses	5	2023-06-01 00:00:00
10	women, eritrea, sexual, kidnapping, crimes	4	2023-06-01 00:00:00
12	closed, clashes, borders, south, aerial	4	2023-06-01 00:00:00
13	seizes, recruitment, company, money, girl	1	2023-06-01 00:00:00
14	cost, readiness, reducing, european, rwanda	3	2023-06-01 00:00:00
15	recruitment, launch, campaign, danger, europe	2	2023-06-01 00:00:00
17	resettlement, diaspora, project, arab, freedom	1	2023-06-01 00:00:00
19	joy, home, eid, away, al	1	2023-06-01 00:00:00
20	egyptian, instead, emigrating, nationalities, public	2	2023-06-01 00:00:00
21	dire, receiving, crossings, egyptian, border	2	2023-06-01 00:00:00
22	months, streets, roads, reaches, bodies	3	2023-06-01 00:00:00
23	52, days, outbreak, migration, thousand	1	2023-06-01 00:00:00
25	unicef, children, danger, months, caused	3	2023-06-01 00:00:00
26	galabat, provision, directs, crossing, border	1	2023-06-01 00:00:00
31	press, implementation, idea, gulf, arabia	1	2023-06-01 00:00:00
38	listens, badi, capital, affected, relief	1	2023-06-01 00:00:00
43	twice, immigrant, sank, story, boat	1	2023-06-01 00:00:00
45	army, expatriates, increased, half, result	1	2023-06-01 00:00:00
47	survey, wad, madani, city, wave	1	2023-06-01 00:00:00
50	need, assistance, governor, urgent, north	1	2023-06-01 00:00:00
51	dangerous, survival, renewed, nyala, civilians	1	2023-06-01 00:00:00
-1	al, shelter, receive, city, housing	27	2023-07-01 00:00:00
0	outbreak, health, medical, expatriates, doctors	9	2023-07-01 00:00:00
2	welfare, dire, testimonies, union, child	2	2023-07-01 00:00:00
3	ain, began, continuation, camp, bbc	3	2023-07-01 00:00:00
4	quick, engineer, dr, problem, solution	2	2023-07-01 00:00:00
5	live, tragic, federation, chad, adri	4	2023-07-01 00:00:00
6	migrants, islands, african, missing, boat	6	2023-07-01 00:00:00
8	nations, united, conflict, yemen, reveals	5	2023-07-01 00:00:00
10	sexual, diseases, continue, warnings, violence	1	2023-07-01 00:00:00
11	sends, uae, aid, chad, humanitarian	1	2023-07-01 00:00:00
12	kordofan, west, army, clashes, battles	1	2023-07-01 00:00:00
13	trafficking, human, bud, theft, night	2	2023-07-01 00:00:00
14	illegal, tunisia, immigration, european, originate	5	2023-07-01 00:00:00
16	muslims, investigating, allegations, canada, labor	1	2023-07-01 00:00:00
17	diaspora, sahara, sahel, homeland, dream	1	2023-07-01 00:00:00
19	sparked, path, burning, controversy, statement	2	2023-07-01 00:00:00
20	prime, egyptian, lands, deport, authorities	2	2023-07-01 00:00:00
22	question, end, millions, reaches, hate	3	2023-07-01 00:00:00
24	nation, oh, lead, makes, far	1	2023-07-01 00:00:00
27	young, woman, asks, message, request	3	2023-07-01 00:00:00
28	marginalization, badri, written, muhammad, mahmoud	2	2023-07-01 00:00:00
29	14, area, thousand, rains, floods	1	2023-07-01 00:00:00
32	obtain, stand, decided, possible, december	3	2023-07-01 00:00:00
36	urges, rights, stop, mass, tunisia	1	2023-07-01 00:00:00
39	talk, syrians, tens, change, deportation	1	2023-07-01 00:00:00
41	eritrean, member, address, ethiopian, community	2	2023-07-01 00:00:00
44	time, painful, confronting, tragedy, issues	1	2023-07-01 00:00:00
45	stories, tell, increased, half, result	1	2023-07-01 00:00:00
46	welcome, light, migration, carrying, african	1	2023-07-01 00:00:00
48	confront, 13, needs, official, crisis	1	2023-07-01 00:00:00
51	begins, wave, darfur, battles, nyala	1	2023-07-01 00:00:00
53	nile, blue, discuss, arrangements, white	2	2023-07-01 00:00:00
-1	al, suffered, journalist, cross, red	29	2023-07-31 00:00:00
0	deteriorate, epidemics, alarming, overcrowding, besiege	4	2023-07-31 00:00:00
1	carries, ain, sites, strikes, air	2	2023-07-31 00:00:00
2	forced, labor, civilians, rights, west	3	2023-07-31 00:00:00
3	happening, jabr, ain, al, capital	2	2023-07-31 00:00:00
4	omdurman, electricity, khartoum, water, 80	7	2023-07-31 00:00:00
5	members, markets, chad, complaints, near	8	2023-07-31 00:00:00
6	coast, boat, italian, migrants, sank	6	2023-07-31 00:00:00
7	fake, fraud, heart, university, victims	1	2023-07-31 00:00:00
8	nations, united, alarming, rates, dead	8	2023-07-31 00:00:00
9	hundreds, ethiopia, guards, demonstrate, ethiopian	2	2023-07-31 00:00:00
11	chadian, distributes, chad, official, ready	7	2023-07-31 00:00:00
12	army, nyala, rapid, omdurman, forces	7	2023-07-31 00:00:00
13	trafficking, human, application, son, ransom	3	2023-07-31 00:00:00
15	appeals, unhcr, returnees, commissioner, high	1	2023-07-31 00:00:00
16	nationalities, riyadh, arresting, kuwait, revealing	2	2023-07-31 00:00:00
18	bad, newly, living, fasher, el	1	2023-07-31 00:00:00
22	expand, concerns, fate, ethiopian, battles	2	2023-07-31 00:00:00
23	fled, conflict, migration, start, organization	2	2023-07-31 00:00:00
24	brought, activist, female, syrians, attacks	1	2023-07-31 00:00:00
25	unicef, children, abyei, 700, caused	4	2023-07-31 00:00:00
26	inspects, crossing, border, customs, advisor	2	2023-07-31 00:00:00
27	sleeping, early, activist, way, reveals	1	2023-07-31 00:00:00
28	marginalization, written, omar, tell, start	1	2023-07-31 00:00:00
29	berber, heavy, rains, died, woman	1	2023-07-31 00:00:00
30	map, reports, forcibly, life, millions	2	2023-07-31 00:00:00
31	passports, administration, general, immigration, course	3	2023-07-31 00:00:00
32	traitors, popular, arresting, demand, deporting	1	2023-07-31 00:00:00
34	implements, projects, organization, locality, port	1	2023-07-31 00:00:00
36	guards, rights, report, saudi, hundreds	1	2023-07-31 00:00:00
39	syrian, data, lebanon, concerns, rights	1	2023-07-31 00:00:00
44	killing, painful, confronting, tragedy, issues	1	2023-07-31 00:00:00
50	governor, scenes, moving, visit, painful	2	2023-07-31 00:00:00
52	suspending, province, galabat, dar, confrontations	1	2023-07-31 00:00:00
-1	al, crescent, red, kutum, aid	31	2023-08-30 00:00:00
0	health, miscarriage, governorates, treat, medical	7	2023-08-30 00:00:00
2	feed, tragedy, strikes, darfur, children	8	2023-08-30 00:00:00
4	omdurman, khartoum, homes, shelters, governor	6	2023-08-30 00:00:00
6	migrants, boat, sank, migrant, tunisia	4	2023-08-30 00:00:00
7	students, refusal, minister, winter, egyptian	3	2023-08-30 00:00:00
8	ocha, conflict, nations, clashes, united	2	2023-08-30 00:00:00
10	women, poverty, groups, harassment, sexual	3	2023-08-30 00:00:00
11	held, protest, killed, chad, camp	1	2023-08-30 00:00:00
12	intensify, 200, tens, risen, nyala	3	2023-08-30 00:00:00
13	trafficking, human, network, berber, police	5	2023-08-30 00:00:00
14	doing, macron, file, pope, immigrant	1	2023-08-30 00:00:00
15	approach, rwandan, model, european, crisis	1	2023-08-30 00:00:00
17	diaspora, freedom, crowds, held, change	2	2023-08-30 00:00:00
18	events, assistant, geneina, 15, wounded	1	2023-08-30 00:00:00
20	wedding, ministers, celebrates, blackmailing, son	2	2023-08-30 00:00:00
21	wait, long, egyptian, border, registered	1	2023-08-30 00:00:00
22	reaches, exceeds, khartoum, millions, hate	2	2023-08-30 00:00:00
24	going, crowds, nour, met, riyadh	1	2023-08-30 00:00:00
25	children, unicef, says, deprived, highest	3	2023-08-30 00:00:00
28	circumstances, eviction, famous, painful, marginalization	1	2023-08-30 00:00:00
29	43, supplies, floods, 50, agency	2	2023-08-30 00:00:00
30	nearly, horrific, internally, living, civilians	2	2023-08-30 00:00:00
32	turned, destroyed, raped, large, khartoum	1	2023-08-30 00:00:00
36	ignoring, rights, stop, violations, union	1	2023-08-30 00:00:00
37	forming, investments, committee, expatriate, bank	1	2023-08-30 00:00:00
42	urgently, intervene, mashad, kalma, relief	1	2023-08-30 00:00:00
45	risen, increased, result, half, positive	2	2023-08-30 00:00:00
48	wins, prize, global, 100, dollars	1	2023-08-30 00:00:00
49	medicine, suffer, water, food, lack	1	2023-08-30 00:00:00
50	governor, sends, need, north, urgent	2	2023-08-30 00:00:00
-1	al, processing, river, approximately, water	21	2023-09-29 00:00:00
0	rising, deaths, chad, water, lack	7	2023-09-29 00:00:00
1	zalingei, wounded, dead, attack, artillery	4	2023-09-29 00:00:00
2	kordofan, complain, south, humanitarian, poor	2	2023-09-29 00:00:00
3	gaza, inside, mutual, 123, counts	10	2023-09-29 00:00:00
4	returnee, kurmuk, reviews, convoy, arrangements	1	2023-09-29 00:00:00
5	chad, live, deteriorating, priority, eastern	6	2023-09-29 00:00:00
6	questions, financial, rejects, tunisian, president	1	2023-09-29 00:00:00
7	schools, education, educational, resist, angry	6	2023-09-29 00:00:00
8	arms, distributed, nations, shipments, united	4	2023-09-29 00:00:00
10	women, production, lift, moroccan, projects	2	2023-09-29 00:00:00
11	paths, chad, uae, macron, federal	7	2023-09-29 00:00:00
12	calm, battles, 100, capital, army	4	2023-09-29 00:00:00
13	trafficking, human, recruitment, sides, accusations	2	2023-09-29 00:00:00
15	unhcr, asks, today, localities, problems	3	2023-09-29 00:00:00
17	say, freedom, change, diaspora, revolution	1	2023-09-29 00:00:00
18	deteriorate, worsens, health, suffering, gedaref	1	2023-09-29 00:00:00
20	kuwaiti, names, deports, interior, egyptian	1	2023-09-29 00:00:00
22	combat, areas, thousand, millions, reaches	1	2023-09-29 00:00:00
23	internal, faces, migration, largest, world	1	2023-09-29 00:00:00
24	good, arabi, friend, social, followers	1	2023-09-29 00:00:00
26	inspects, al, demands, crossing, border	1	2023-09-29 00:00:00
27	girls, trip, karo, green, farms	1	2023-09-29 00:00:00
30	70, iom, idps, faces, internal	2	2023-09-29 00:00:00
31	dealing, jeddah, consulate, passports, problems	1	2023-09-29 00:00:00
32	rise, states, khartoum, battle, expropriation	1	2023-09-29 00:00:00
37	wealth, economic, hopes, push, hassan	2	2023-09-29 00:00:00
42	siege, rsf, faces, zalingei, difficult	1	2023-09-29 00:00:00
45	increased, outbreak, half, result, positive	1	2023-09-29 00:00:00
46	season, migration, victim, timbuktu, african	3	2023-09-29 00:00:00
49	expired, demonstrate, supplies, distribution, food	1	2023-09-29 00:00:00
50	reassures, governor, kordofan, homes, return	1	2023-09-29 00:00:00
53	arrived, armed, white, areas, nile	1	2023-09-29 00:00:00
-1	al, shelter, statement, redemption, sexy	27	2023-10-29 00:00:00
0	cards, action, escalating, diseases, urgent	3	2023-10-29 00:00:00
1	matrix, break, truce, lebanese, advantage	3	2023-10-29 00:00:00
2	sahel, dire, kalma, materials, humanitarian	3	2023-10-29 00:00:00
3	gaza, bombing, school, housing, al	10	2023-10-29 00:00:00
4	brings, source, strange, slogan, livelihood	2	2023-10-29 00:00:00
5	volunteers, come, youth, help, fleeing	1	2023-10-29 00:00:00
7	education, announces, schools, starting, expelling	4	2023-10-29 00:00:00
8	nations, united, counts, concerned, 52	3	2023-10-29 00:00:00
10	women, denial, gave, risks, right	2	2023-10-29 00:00:00
11	accepted, demanding, thousand, chad, camp	1	2023-10-29 00:00:00
12	locality, clashes, result, south, darfur	2	2023-10-29 00:00:00
13	africa, trafficking, human, network, victims	1	2023-10-29 00:00:00
14	immigrant, won, dutch, far, major	2	2023-10-29 00:00:00
16	carry, joint, local, campaign, al	1	2023-10-29 00:00:00
18	significant, italian, distribution, materials, rates	2	2023-10-29 00:00:00
20	public, reasons, foreigners, deport, decision	1	2023-10-29 00:00:00
22	hate, victory, love, month, girl	1	2023-10-29 00:00:00
23	700, reports, migration, west, deaths	1	2023-10-29 00:00:00
24	watch, video, tariq, mock, rehearsal	2	2023-10-29 00:00:00
25	largest, child, children, unicef, world	5	2023-10-29 00:00:00
26	opening, crossing, arrangements, al, border	2	2023-10-29 00:00:00
27	photo, watch, video, girl, expatriate	6	2023-10-29 00:00:00
28	marginalization, written, racism, plight, bitter	2	2023-10-29 00:00:00
31	general, passports, secretary, administration, discusses	3	2023-10-29 00:00:00
32	solidarity, standing, english, invaded, daughters	2	2023-10-29 00:00:00
36	rights, tear, imprisonment, gas, expulsion	2	2023-10-29 00:00:00
38	equipment, hygiene, distribute, launch, pictures	1	2023-10-29 00:00:00
42	use, life, al, denounce, concerned	3	2023-10-29 00:00:00
-1	wad, al, madani, kassala, medani	39	2023-11-28 00:00:00
1	wad, madani, rapid, army, movement	8	2023-11-28 00:00:00
2	al, tragic, darfur, north, south	2	2023-11-28 00:00:00
3	gaza, expands, ground, infant, escape	2	2023-11-28 00:00:00
4	khartoum, citizens, humiliation, awliya, jabal	8	2023-11-28 00:00:00
5	refuge, exit, searching, collapse, safe	1	2023-11-28 00:00:00
7	studying, students, education, russia, ukraine	2	2023-11-28 00:00:00
8	escalation, violations, warns, violence, council	3	2023-11-28 00:00:00
11	uae, aid, south, chad, visits	1	2023-11-28 00:00:00
12	wad, outskirts, medani, salaam, es	4	2023-11-28 00:00:00
14	amendments, parliament, immigration, dubai, arrivals	3	2023-11-28 00:00:00
15	withdraw, laws, unhcr, worsens, status	2	2023-11-28 00:00:00
17	pain, diaspora, freedom, revolution, arabs	2	2023-11-28 00:00:00
18	line, yunis, khan, water, locality	1	2023-11-28 00:00:00
22	threat, lives, face, forces, citizens	2	2023-11-28 00:00:00
24	let, watch, dance, arabi, tried	2	2023-11-28 00:00:00
25	unicef, jazira, days, al, children	1	2023-11-28 00:00:00
26	customs, director, border, crossing, eritrea	2	2023-11-28 00:00:00
27	pay, photo, watch, video, clothes	2	2023-11-28 00:00:00
28	memory, marginalization, criticism, muhammad, mahmoud	1	2023-11-28 00:00:00
29	damazin, waves, cross, receives, high	1	2023-11-28 00:00:00
31	passports, readiness, departments, administration, general	2	2023-11-28 00:00:00
34	assistance, wadi, provides, halfa, 43	2	2023-11-28 00:00:00
37	originate, billion, repercussions, causes, egyptians	2	2023-11-28 00:00:00
38	al, club, volunteers, doors, mirghani	1	2023-11-28 00:00:00
44	survival, solution, wad, madani, painful	2	2023-11-28 00:00:00
49	deadly, epidemics, winter, risk, famine	1	2023-11-28 00:00:00
53	blue, treatment, returnees, region, nile	1	2023-11-28 00:00:00
-1	intelligence, prevents, psychological, babanusa, week	32	2023-12-28 00:00:00
0	exacerbated, childbirth, illnesses, capabilities, scarcity	4	2023-12-28 00:00:00
1	zone, injuries, near, wad, madani	2	2023-12-28 00:00:00
3	gaza, summit, rejects, bank, west	6	2023-12-28 00:00:00
4	green, continuous, sea, flow, cities	2	2023-12-28 00:00:00
7	stresses, egyptian, students, ministry, immigration	1	2023-12-28 00:00:00
8	allocates, nations, united, emergency, massive	2	2023-12-28 00:00:00
10	women, sports, harassment, resist, rape	2	2023-12-28 00:00:00
11	week, died, eastern, children, chad	1	2023-12-28 00:00:00
12	reaching, prevents, air, strikes, kordofan	2	2023-12-28 00:00:00
14	german, constitutional, controversial, law, rejects	2	2023-12-28 00:00:00
15	salman, king, sign, unhcr, agreement	1	2023-12-28 00:00:00
16	al, territory, details, saudi, reveals	1	2023-12-28 00:00:00
17	arab, diaspora, freedom, revolution, arabs	1	2023-12-28 00:00:00
18	shortages, spread, suffer, zamzam, food	1	2023-12-28 00:00:00
19	son, painful, lost, story, death	1	2023-12-28 00:00:00
20	spokesman, position, egyptian, attack, government	1	2023-12-28 00:00:00
21	question, want, deport, residents, countries	1	2023-12-28 00:00:00
22	destruction, 2023, millions, reverse, deaths	3	2023-12-28 00:00:00
23	migration, 10, conflicts, start, western	5	2023-12-28 00:00:00
25	unicef, child, largest, world, crisis	1	2023-12-28 00:00:00
28	myth, marginalization, muhammad, mahmoud, issues	1	2023-12-28 00:00:00
30	approaching, internally, statistics, quarter, record	2	2023-12-28 00:00:00
34	organization, assistance, migration, provides, internally	2	2023-12-28 00:00:00
37	money, amid, bank, prohibits, billion	1	2023-12-28 00:00:00
40	uganda, supports, 300, canada, complain	2	2023-12-28 00:00:00
45	know, beginning, time, increased, half	1	2023-12-28 00:00:00
47	babanusa, al, wave, city, citizens	1	2023-12-28 00:00:00
49	care, 500, suffer, food, water	1	2023-12-28 00:00:00
52	orders, strict, control, president, border	1	2023-12-28 00:00:00
-1	al, affairs, hunger, fines, huge	40	2024-01-27 00:00:00
0	transit, newborn, significant, world, health	4	2024-01-27 00:00:00
1	limited, expand, clashes, injuries, babanusa	3	2024-01-27 00:00:00
2	hunger, darfur, eat, feed, spokesman	5	2024-01-27 00:00:00
3	awaiting, horror, lives, gaza, bombing	2	2024-01-27 00:00:00
4	buses, receive, willing, neighbors, arriving	1	2024-01-27 00:00:00
5	crowded, crimean, face, wait, south	4	2024-01-27 00:00:00
6	27, bodies, missing, 13, tunisia	1	2024-01-27 00:00:00
7	students, charitable, alternative, initiatives, education	4	2024-01-27 00:00:00
8	nations, united, response, caused, plan	6	2024-01-27 00:00:00
9	cases, rape, ethiopia, lack, water	1	2024-01-27 00:00:00
10	women, sexual, reflects, vulnerable, rape	4	2024-01-27 00:00:00
11	cairo, affected, discusses, issues, visits	7	2024-01-27 00:00:00
13	price, trafficking, human, libya, darfur	1	2024-01-27 00:00:00
14	grandi, europe, influx, warns, migrants	1	2024-01-27 00:00:00
15	response, plan, launching, 2024, year	1	2024-01-27 00:00:00
16	complete, fine, riyals, 30, failure	1	2024-01-27 00:00:00
18	rahid, drinking, suffering, exacerbates, al	3	2024-01-27 00:00:00
19	traditions, ramadan, customs, year, eid	1	2024-01-27 00:00:00
20	constitutional, complaint, appeals, deport, egyptian	1	2024-01-27 00:00:00
21	flood, avoid, long, borders, crossing	1	2024-01-27 00:00:00
22	disastrous, perpetrators, conflicts, flee, witnessing	2	2024-01-27 00:00:00
23	doing, migration, western, 10, al	2	2024-01-27 00:00:00
24	ahmed, famous, watch, video, complaint	4	2024-01-27 00:00:00
25	children, unicef, atrocities, child, 300	3	2024-01-27 00:00:00
26	ports, 24, attempts, hours, smuggling	1	2024-01-27 00:00:00
27	families, failure, photo, watch, video	1	2024-01-27 00:00:00
31	agency, expatriates, passports, administration, general	1	2024-01-27 00:00:00
33	immigrants, wins, elections, mass, military	2	2024-01-27 00:00:00
35	libya, aid, libyan, accident, kufra	1	2024-01-27 00:00:00
36	prosecutor, rights, court, mashad, welcomes	1	2024-01-27 00:00:00
38	basket, distribute, inauguration, cash, batch	6	2024-01-27 00:00:00
39	horrors, syrian, paths, escape, diaspora	1	2024-01-27 00:00:00
43	power, come, western, immigrants, countries	1	2024-01-27 00:00:00
44	besieged, far, away, problem, inside	1	2024-01-27 00:00:00
45	positive, situations, april, starvation, babanusa	3	2024-01-27 00:00:00
46	tribes, second, northern, migration, carrying	1	2024-01-27 00:00:00
49	risks, chadian, official, food, warns	1	2024-01-27 00:00:00
51	search, peace, leave, force, safe	1	2024-01-27 00:00:00
-1	al, aid, zain, food, meals	37	2024-02-26 00:00:00
0	dongola, malnutrition, health, center, opens	5	2024-02-26 00:00:00
1	jazeera, looted, rebel, mashad, outside	2	2024-02-26 00:00:00
2	darfur, humanitarian, south, situation, republic	7	2024-02-26 00:00:00
3	gaza, convoys, blinken, shows, entering	2	2024-02-26 00:00:00
4	learn, omdurman, story, locality, video	1	2024-02-26 00:00:00
5	overcrowding, deterioration, chad, camps, fled	3	2024-02-26 00:00:00
6	rescue, bodies, tunisian, coast, announces	1	2024-02-26 00:00:00
7	raise, identity, capabilities, zain, education	2	2024-02-26 00:00:00
8	secretary, general, cairo, nations, united	1	2024-02-26 00:00:00
10	raped, women, kalma, girls, including	2	2024-02-26 00:00:00
11	visits, delegation, eastern, chad, camp	1	2024-02-26 00:00:00
12	40, kordofan, attack, result, south	1	2024-02-26 00:00:00
