Topic	Words	Frequency	Class
46	african, carrying, migration, marra, jebel	4	sudanile.com
48	dollars, provision, agency, development, libya	1	sudanile.com
49	stop, program, food, aid, chad	1	sudanile.com
52	deliver, geneva, crossing, border, talks	2	sudanile.com
-1	al, nile, emergency, foreign, committee	18	alttahrer.com
0	health, doctors, ways, equipment, grant	5	alttahrer.com
1	bombing, taqaddum, sinjah, rapid, 32	3	alttahrer.com
2	kalma, 100, died, hunger, south	1	alttahrer.com
4	suffer, blue, hundreds, sennar, forced	1	alttahrer.com
5	participation, foreign, commissioner, chad, libya	1	alttahrer.com
7	education, expatriates, university, schools, kassala	3	alttahrer.com
8	nations, united, sake, inability, hungry	3	alttahrer.com
9	ethiopia, appeals, forests, preliminary, threatened	4	alttahrer.com
11	commitment, kriandingo, supporting, visits, taqaddam	3	alttahrer.com
15	violation, expelling, agreements, 11, lawyers	2	alttahrer.com
17	diaspora, thought, thoughts, forum, importance	4	alttahrer.com
23	migration, 55, 14, neighboring, villages	2	alttahrer.com
26	sovereignty, council, border, decides, directs	2	alttahrer.com
28	passed, muhammad, away, marginalization, 2024	1	alttahrer.com
31	authority, secretary, discusses, issues, expatriates	1	alttahrer.com
40	bleak, uganda, picture, suffering, integration	1	alttahrer.com
41	armed, ethiopia, comer, attack, ethiopian	2	alttahrer.com
47	invasion, following, area, countries, diaspora	1	alttahrer.com
52	geneva, talks, welcome, adre, crossing	1	alttahrer.com
-1	al, shelter, video, kassala, nile	211	alnilin.com
0	health, hospital, medical, free, doctors	23	alnilin.com
1	al, rapid, militia, jazeera, fasher	12	alnilin.com
2	darfur, humanitarian, children, harsh, feed	12	alnilin.com
3	gaza, jordan, summit, accept, blow	9	alnilin.com
4	khartoum, omdurman, homes, electricity, neighborhoods	22	alnilin.com
5	tragic, chad, live, agreement, arduous	15	alnilin.com
6	migrants, boat, islands, coast, missing	15	alnilin.com
7	schools, students, university, education, school	21	alnilin.com
8	nations, united, caused, urgent, alarming	8	alnilin.com
9	ethiopian, ethiopia, watch, forests, arrangements	8	alnilin.com
10	women, rape, press, sleep, planning	6	alnilin.com
11	paths, chad, ambassador, uae, aid	10	alnilin.com
12	battles, army, closed, violent, 31	5	alnilin.com
13	trafficking, human, arrested, network, combating	16	alnilin.com
14	illegal, immigration, european, union, law	8	alnilin.com
15	commissioner, unhcr, organizations, aswan, immediately	6	alnilin.com
16	kuwait, expatriates, expatriate, riyadh, residency	16	alnilin.com
17	diaspora, freedom, revolution, change, december	13	alnilin.com
18	dinder, warehouses, pillar, car, refused	5	alnilin.com
19	ramadan, zakat, god, eid, model	14	alnilin.com
20	egyptian, public, deports, interior, ministers	13	alnilin.com
21	deport, draft, affect, long, worry	8	alnilin.com
22	hate, millions, reaches, victory, targeted	5	alnilin.com
23	migration, internal, population, 10, faces	3	alnilin.com
24	watch, video, surprises, dance, famous	24	alnilin.com
25	children, unicef, 200, danger, months	2	alnilin.com
26	border, customs, crossing, director, crossings	9	alnilin.com
27	watch, video, photo, girl, girls	23	alnilin.com
28	myth, marginalization, muhammad, mahmoud, issues	1	alnilin.com
29	floods, linking, road, cut, destroyed	2	alnilin.com
30	reports, internally, forcibly, nearly, according	5	alnilin.com
31	passports, administration, general, immigration, expatriates	16	alnilin.com
32	battle, khartoum, diaspora, despite, expropriation	12	alnilin.com
33	immigrants, biden, threatens, disabled, announce	8	alnilin.com
34	organization, migration, dongola, cash, assistance	9	alnilin.com
35	house, libyan, trade, brothers, youssef	3	alnilin.com
36	rights, sentences, gathering, moroccan, imprisonment	3	alnilin.com
37	money, originate, wealth, hopes, forming	6	alnilin.com
38	pictures, distribute, volunteers, al, launch	10	alnilin.com
39	syrian, lebanese, issue, guests, club	4	alnilin.com
40	uganda, supports, 300, canada, community	2	alnilin.com
41	stuck, eritrean, crises, clashes, armed	1	alnilin.com
42	al, life, sheikh, reception, video	4	alnilin.com
43	america, immigration, seeking, grants, enemy	5	alnilin.com
44	systematic, besieged, far, occupation, away	4	alnilin.com
46	carrying, marra, jebel, african, migration	3	alnilin.com
49	food, cut, stop, received, aid	2	alnilin.com
50	governor, reassures, scenes, moving, visit	2	alnilin.com
51	coexistence, dagalo, houses, fall, committees	2	alnilin.com
53	white, nile, discuss, arrive, high	2	alnilin.com
